Sample	meth_chg	meth_chh	meth_cpg	percent_chg_meth	percent_chh_meth	percent_cpg_meth	total_c	unmeth_chg	unmeth_chh	unmeth_cpg
CN_16_RG_2020_BL_ADL_M__SRR17643050__R1__4136cc7c1b11bd36bc5ac494834150d7_val_1	718.0	1289.0	721.0	0.2	0.2	0.2	1150085.0	308318.0	540374.0	298665.0
CN_16_RG_2021_BL_ADL_M__SRR17643046__R1__745d2d795c54bbefa255e4abde19ee9b_val_1	863.0	1527.0	910.0	0.3	0.3	0.3	1226487.0	329444.0	573464.0	320279.0
CN_16_RG_2021_BL_ADL_M__SRR17643048__R1__5c32a50988902bc4a8b6ef9211b30226_val_1	119.0	183.0	131.0	0.2	0.2	0.3	177894.0	47630.0	83479.0	46352.0
CN_16_RG_2023_BL_ADL_M__SRR17643044__R1__699d3c295b0eb76921ba61523ead2f14_val_1	657.0	1176.0	658.0	0.3	0.3	0.3	908552.0	245514.0	421469.0	239078.0
CN_16_RG_2023_BL_ADL_M__SRR17643045__R1__f01d3e3480bc91c04c7318057be4b926_val_1	104.0	186.0	125.0	0.3	0.3	0.3	152008.0	40878.0	71055.0	39660.0
CN_16_RG_2027_BL_ADL_M__SRR17643042__R1__446eb7935d68ad7a2bec215c1af40c15_val_1	147.0	270.0	104.0	0.3	0.3	0.2	199621.0	53608.0	93121.0	52371.0
CN_16_RG_2027_BL_ADL_M__SRR17643043__R1__c299cfe386524cbcfa621402e2dbd9a2_val_1	1143.0	1972.0	1068.0	0.3	0.3	0.3	1424403.0	382376.0	668966.0	368878.0
CN_16_RG_2029_BL_ADL_F__SRR17643040__R1__5b04e8c79c2c718520335b70fa2071d5_val_1	359.0	598.0	347.0	0.3	0.2	0.3	511444.0	136983.0	240823.0	132334.0
CN_16_RG_2029_BL_ADL_F__SRR17643125__R1__3373616e7cdb5c0fc20acb0f6cdc2648_val_1	43.0	80.0	50.0	0.2	0.3	0.3	67870.0	18097.0	31911.0	17689.0
CN_16_RG_2030_BL_ADL_M__SRR17643123__R1__1d93cf920e9e243dbfe3c66e5fa1d8c3_val_1	55.0	79.0	28.0	0.3	0.2	0.1	79191.0	21109.0	37458.0	20462.0
CN_16_RG_2030_BL_ADL_M__SRR17643124__R1__8588b733582e46a2271e463250c015ce_val_1	523.0	964.0	478.0	0.3	0.3	0.3	601766.0	160016.0	283972.0	155813.0
CN_16_RG_2031_BL_ADL_F__SRR17643122__R1__dbf00865c5ad84939425de73519ba521_val_1	557.0	892.0	521.0	0.3	0.3	0.3	640074.0	171725.0	299819.0	166560.0
CN_16_RG_2033_BL_ADL_M__SRR17643119__R1__81160a9c4913df093c3dfcf887b72706_val_1	80.0	104.0	66.0	0.3	0.3	0.3	87245.0	23235.0	41156.0	22604.0
CN_16_RG_2033_BL_ADL_M__SRR17643120__R1__f5908ae7ad441619d5818b8704570971_val_1	315.0	538.0	293.0	0.3	0.3	0.3	441228.0	118678.0	207249.0	114155.0
CN_16_RG_2044_BL_ADL_F__SRR17643117__R1__018d0d4074b80258bce4ee7dba7196ac_val_1	555.0	956.0	516.0	0.4	0.4	0.4	537569.0	143585.0	251773.0	140184.0
CN_16_RG_2044_BL_ADL_F__SRR17643118__R1__9d60dd8a723ce0fc501c7ccfed55bb99_val_1	135.0	248.0	129.0	0.4	0.4	0.4	137659.0	37069.0	64156.0	35922.0
CN_16_RG_2050_BL_ADL_M__SRR17777320__R1__6cce2c1fa487d06beb473209ee6867a3_val_1	523.0	926.0	567.0	0.3	0.3	0.3	703350.0	188013.0	331483.0	181838.0
CN_16_RG_2050_BL_ADL_M__SRR17777321__R1__ac5b2cd742ab4a5b425c3fbe153f8ec3_val_1	15.0	10.0	8.0	0.5	0.2	0.3	10520.0	2811.0	4951.0	2725.0
CN_16_RG_2050_BL_ADL_M__SRR17777322__R1__e468dd52640a659d9f4c1ce39666c7cc_val_1	44.0	74.0	36.0	0.3	0.3	0.2	55000.0	14771.0	25680.0	14395.0
CN_16_RG_2054_BL_ADL_F__SRR17643115__R1__40ca6761181378874655bb4ffc67de56_val_1	580.0	1021.0	578.0	0.3	0.3	0.3	762899.0	206409.0	354622.0	199689.0
CN_16_RG_2054_BL_ADL_F__SRR17643116__R1__493531dcfdd77195c1286a4c2c426c7b_val_1	92.0	173.0	102.0	0.2	0.3	0.3	137968.0	37303.0	63890.0	36408.0
CN_16_RG_2058_BL_ADL_F__SRR17643113__R1__10e93fb99f8726b5bd21cd78029e491f_val_1	483.0	854.0	555.0	0.3	0.3	0.3	620846.0	167250.0	289226.0	162478.0
CN_16_RG_2058_BL_ADL_F__SRR17643114__R1__c2dc561a0c87f26d5b53620b0460ca7f_val_1	112.0	200.0	81.0	0.3	0.3	0.2	124655.0	33593.0	58115.0	32554.0
