df_name cpgi.pst cpgi_promoter.pst cpgi_intergenic.pst cpgi_intron.pst cpgi_exon.pst cpgi_TTS.pst opensea.pst opensea_promoter.pst opensea_intron.pst opensea_intergenic.pst opensea_exon.pst opensea_TTS.pst shore.pst shore_promoter.pst shore_intron.pst shore_intergenic.pst shore_exon.pst shore_TTS.pst
erythrogaster.vs.savignii.vs.fst.joined.erythrogaster.vs.savignii.pst 0.0359468102124268 0.0177550703446868 0.0246228910444538 0.0400809155956948 0.0359047151495421 0.0269151562832667 0.0489805760029066 0.0699104116509495 0.0573031595920458 0.0549121094933794 0.0168888706160287 0.093255740868875 0.023592858849375 0.0024452913661323 0.0464597961007568 0.0118760166345597 -0.0188493366468042 0.0511796559503718
erythrogaster.vs.transitiva.vs.fst.joined.erythrogaster.vs.transitiva.pst 0.0256030193175579 0.0236257102111723 0.0309474767726759 0.0146180509895096 0.0383137502735264 -0.0700999614542982 0.033850079251876 0.0339468641706413 0.0548114134904568 0.0310256368824813 0.0183683159200951 0.0462462888436449 0.0220112780045391 -0.0001999472408675 0.028897891757789 0.024967715945845 0.0149400031146027 -0.00917171052519703
erythrogaster.vs.rustica.r.vs.fst.joined.erythrogaster.vs.rustica.r.pst 0.0235488294447787 0.00459680162243636 0.0197372892956185 0.0259835735962667 0.0402884583383332 -0.0311767620918813 0.0442802233586986 -0.0328628473715521 0.0639339813080606 0.0580815563948479 0.0140244122977887 0.0118088461894511 0.0266951895724583 0.0514575341195756 0.0303295790488854 0.031743098088192 0.00310126860242738 -0.00071689232863539
erythrogaster.vs.tytleri.vs.fst.joined.erythrogaster.vs.tytleri.pst 0.0113879654576816 0.0165673293698226 -0.00225235343399195 0.0447720415074572 -0.0185612071976816 -0.014831552595399 0.0327491026736734 0.420069480196901 0.0113224070143003 0.0602846596085384 -0.0127831366175074 -0.0147403618947477 0.0158659500900294 0.00352844318213265 0.0454437357177729 0.00974967615760441 -0.0351275846951919 -0.0230211844284374
rustica.r.vs.savignii.vs.fst.joined.rustica.r.vs.savignii.pst 0.0443289788081804 0.0295239287454189 0.0416998813421746 0.0469146541668143 0.0481231678345168 0.0249289339028803 0.0483067927711103 -0.0405442983002568 0.0777930941561129 0.0338335658609939 -0.00226722861334784 0.0607301553000339 0.0256217612718448 0.00238035421558539 0.00441024675605381 0.0276438096600388 0.0568814871010375 -0.0665706144364883
savignii.vs.tytleri.vs.fst.joined.savignii.vs.tytleri.pst 0.0348118889560135 -0.0209989073050805 0.0374541287660943 0.0259539337841195 0.0611373520589314 -0.000776491714508735 0.0341464832309364 -0.121730418841963 0.0418968773946078 0.0759900039445765 -0.00246841108286 0.102083922386613 0.0355963921723012 0.0534862257902562 0.0513522006689203 0.0215681314223525 0.0252454249994695 0.119083931375243
rustica.r.vs.tytleri.vs.fst.joined.rustica.r.vs.tytleri.pst 0.0383718576086967 0.00887266699678875 0.0222164246986791 0.0690305862289094 0.0435794703319483 -0.00279875981462933 0.0437042011642566 0.199843837888928 0.0347422283870176 0.0594826122894312 0.0400978495964778 0.0519492257931459 0.0503450356695569 0.0330876399296584 0.0440216209369827 0.0642942400362495 0.00265067175511368 0.0823218716115997
transitiva.vs.tytleri.vs.fst.joined.transitiva.vs.tytleri.pst 0.0116600141101372 -0.0106143853788039 -0.0171766573932536 NA 0.0520152229326504 -0.00114376453860639 0.0369641847179996 0.0376643389048578 0.0244193276730677 0.0503445791048574 -0.00646946022134873 0.0226447592981024 0.0047032774416513 0.0193892486320302 0.00328668231689315 0.0172917550583597 0.00934481200302525 0.0565761556914226
savignii.vs.transitiva.vs.fst.joined.savignii.vs.transitiva.pst 0.018163160630603 0.0883456037414577 0.0197879511402645 0.00702139816506476 -0.00062916638444663 -0.0508721721721089 0.0227187682700337 -0.0264960113176291 0.0215611751305152 0.0252598649095852 0.000951470370924797 0.0368137832475256 0.0192305477219705 0.00474198315785814 -0.00325533144124272 0.0401815936896812 0.0280929511386138 0.051462056563433
rustica.r.vs.transitiva.vs.fst.joined.rustica.r.vs.transitiva.pst 0.0112493686659209 0.0867710297818713 -0.0195222918743621 -0.0101563950980075 0.0554976813170069 0.0354058929876296 0.0211970616123616 0.0906971332390073 0.0232553466932654 0.0233158411078991 0.0179170364526427 0.0367500960046507 0.0117366382841278 0.016048581767212 -0.00174938085196127 0.0297667306654322 -0.0148024434510443 0.0567400208631626
