df_name cpgi.pst cpgi_promoter.pst cpgi_intergenic.pst cpgi_intron.pst cpgi_exon.pst cpgi_TTS.pst opensea.pst opensea_promoter.pst opensea_intron.pst opensea_intergenic.pst opensea_exon.pst opensea_TTS.pst shore.pst shore_promoter.pst shore_intron.pst shore_intergenic.pst shore_exon.pst shore_TTS.pst
erythrogaster.vs.savignii.vs.fst.joined.erythrogaster.vs.savignii.pst 0.0352830994412952 0.00964674296984859 0.0256325914143788 0.0363651532068829 0.0347854217857658 0.0136992378321161 0.0467448849458477 0.0894803659194561 0.0792927461971165 0.0346376346703991 0.0214220128606918 0.0574883724013286 0.0190277466202463 0.00256848488904401 0.0377916505815443 0.0103368817197375 -0.0113933763892822 0.0574883724013286
erythrogaster.vs.transitiva.vs.fst.joined.erythrogaster.vs.transitiva.pst 0.0237029772054778 0.0222118447189897 0.0278258583441818 0.0187316672740679 0.0343735500838506 -0.0735802872809036 0.0389023033788292 0.0451719887638655 0.0551743121744184 0.0312531079834693 0.0203553009056379 -0.0131678926025784 0.0194508357426406 0.00257292544755 0.0224106243462598 0.0273687305828137 0.00650359690668596 -0.0131678926025784
erythrogaster.vs.rustica.r.vs.fst.joined.erythrogaster.vs.rustica.r.pst 0.0243725402603457 0.0129216534565924 0.0220280767190298 0.0213131150264616 0.0379130731817567 -0.0429584580112265 0.0542901139805104 -0.00171395599366935 0.0733829703571247 0.0589140405707247 0.005736468475218 0.00319727343792654 0.0218285377578812 0.0443777026322194 0.028596339840326 0.0272256553082634 -0.00602821350336149 0.00319727343792654
erythrogaster.vs.tytleri.vs.fst.joined.erythrogaster.vs.tytleri.pst 0.0255088994313309 0.022218061952201 0.00715183700034637 0.0752778117271143 -0.0173821367533613 -0.0128280264731306 0.0461896494983189 0.415379504749328 0.0231076635218016 0.0648164392668525 0.0223679047424522 -0.0524604323346344 0.0171578975609647 0.0152697790343931 0.0461960831896899 0.0189853920023114 -0.0394841416976867 -0.0524604323346344
rustica.r.vs.savignii.vs.fst.joined.rustica.r.vs.savignii.pst 0.0449011193631948 0.0230966306301449 0.0570837173883378 0.0380016956057102 0.0415457599408888 0.0270112788773582 0.046803397339186 -0.0447016019622707 0.0849065824740646 0.036919818203578 0.0131174134389005 -0.0688758035651506 0.0199129092179948 0.00151344116354833 -0.00370989966433231 0.027442709223434 0.0501917254126875 -0.0688758035651506
savignii.vs.tytleri.vs.fst.joined.savignii.vs.tytleri.pst 0.0275324703763647 -0.0188498969722861 0.0366629077353787 0.00232568519289723 0.0575329048804989 -0.00542074442927358 0.0480831151933439 -0.126274131183462 0.0479057531975896 0.0610919534623487 0.000525010246389877 0.124687935457944 0.0373003107095941 0.0486901033940208 0.050081919269338 0.0264236772918229 0.0178539792172322 0.124687935457944
rustica.r.vs.tytleri.vs.fst.joined.rustica.r.vs.tytleri.pst 0.0268154025651005 0.0284830460917238 0.0149296674435717 0.0392015021910225 0.0474049969617212 0.0110071157446443 0.0480289663857256 0.0717250504980552 0.0260631600338208 0.0598656569896355 0.0722117843816845 0.0874435454990643 0.0497103879448191 0.0225630192397395 0.0439137446808045 0.0663740754272442 0.00237156649796896 0.0874435454990643
transitiva.vs.tytleri.vs.fst.joined.transitiva.vs.tytleri.pst 0.00792921537904005 0.00408429505589775 -0.0204349768080259 0.0393087212629841 0.0500589308025048 -0.00371385072010109 0.0282075083734122 0.0457104128640861 0.0093706893583425 0.0521529185418768 -0.014491389778038 0.0564372479485037 0.00968005137619092 0.0156988273031578 0.0129781345141114 0.0223147788238191 0.0140686013339466 0.0564372479485037
savignii.vs.transitiva.vs.fst.joined.savignii.vs.transitiva.pst 0.0122043640364363 0.0448724874711108 0.00902760022038317 -0.00442099884609551 -0.00420897067593981 -0.0266857754430846 0.0252741753772642 -0.00964963776079053 0.01503880077209 0.0180476627674802 0.0255415792833063 0.071320536707835 0.0186724793803808 0.00979471534647262 0.000261117857839788 0.0433229527532032 0.0127339186011114 0.071320536707835
rustica.r.vs.transitiva.vs.fst.joined.rustica.r.vs.transitiva.pst 0.0165486022049664 0.0783042473990735 -0.0104834733405185 -0.00296686646944808 0.0508406653932823 0.0302320505207099 0.0225804849818878 0.117920673433099 0.0249045334571786 0.0260219919157386 0.0203387548721557 0.0457170609341334 0.00978997673578762 0.00223381544849208 0.00167966499822423 0.0222392091862589 -0.000278963942261192 0.0457170609341334
