Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
DE_19_R_19DE108_BL_ADL_M__SRR21484704.pair1.truncated	9.934723030887469	42.0	150.0	0.0	59526262.0
DE_19_R_19DE108_BL_ADL_M__SRR21484704.pair2.truncated	6.679432888650226	42.0	150.0	0.0	59526262.0
DE_19_R_19DE110_BL_ADL_F__SRR21484701.pair1.truncated	10.164674478568088	43.0	150.0	0.0	52358776.0
DE_19_R_19DE110_BL_ADL_F__SRR21484701.pair2.truncated	5.958507297957979	43.0	150.0	0.0	52358776.0
DE_19_R_19DE110_BL_ADL_F__SRR21484702.pair1.truncated	10.489579014018659	43.0	149.99982265193003	0.0	10826168.0
DE_19_R_19DE110_BL_ADL_F__SRR21484702.pair2.truncated	10.698765613856267	43.0	149.9997921702305	0.0	10826168.0
DE_20_R_20DE008_BL_ADL_F__SRR21484688.pair1.truncated	14.919058457744256	42.0	149.99999996280582	8.333333333333332	53771832.0
DE_20_R_20DE008_BL_ADL_F__SRR21484688.pair2.truncated	14.292719949768014	42.0	149.9999984192467	8.333333333333332	53771832.0
DE_20_R_20DE071_BL_ADL_M__SRR21484687.pair1.truncated	11.000964625413872	43.0	149.9999999844931	0.0	64487323.0
DE_20_R_20DE071_BL_ADL_M__SRR21484687.pair2.truncated	10.531866892770466	43.0	149.99999837177302	0.0	64487323.0
DE_20_R_20DE078_BL_ADL_M__SRR21484685.pair1.truncated	12.338901997996558	43.0	150.0	8.333333333333332	51537219.0
DE_20_R_20DE078_BL_ADL_M__SRR21484685.pair2.truncated	11.497169706258376	43.0	149.99999846712723	8.333333333333332	51537219.0
DE_20_R_20DE078_BL_ADL_M__SRR21484686.pair1.truncated	9.733432166597439	43.0	149.99982498719794	8.333333333333332	4708227.0
DE_20_R_20DE078_BL_ADL_M__SRR21484686.pair2.truncated	10.681778359248014	43.0	149.99979588919567	8.333333333333332	4708227.0
DE_20_R_20DE139_BL_ADL_F__SRR21484684.pair1.truncated	15.030442935297785	44.0	150.0	8.333333333333332	66194123.0
DE_20_R_20DE139_BL_ADL_F__SRR21484684.pair2.truncated	14.506879380423015	44.0	149.9999986403627	8.333333333333332	66194123.0
DE_20_R_20DE145_BL_ADL_M__SRR21484683.pair1.truncated	11.665542003987937	43.0	149.99962198628938	8.333333333333332	59368217.0
DE_20_R_20DE145_BL_ADL_M__SRR21484683.pair2.truncated	9.715633397230377	43.0	149.9992820232415	0.0	59368217.0
FI_18_R_18FI002_BL_ADL_M__SRR21484682.pair1.truncated	15.560475618375435	43.0	149.99993493133903	0.0	60197950.0
FI_18_R_18FI002_BL_ADL_M__SRR21484682.pair2.truncated	13.313849599616475	43.0	149.99999797335292	0.0	60197950.0
FI_18_R_18FI020_BL_ADL_F__SRR21484681.pair1.truncated	14.517236271978021	43.0	149.99993323670583	0.0	61920252.0
FI_18_R_18FI020_BL_ADL_F__SRR21484681.pair2.truncated	12.212942150556415	43.0	149.9999980620234	0.0	61920252.0
FI_18_R_18FI082_BL_ADL_M__SRR21484680.pair1.truncated	15.292602845723763	42.0	149.99993519821942	0.0	74010312.0
FI_18_R_18FI082_BL_ADL_M__SRR21484680.pair2.truncated	12.619570919263822	43.0	149.99999804081355	0.0	74010312.0
FI_19_R_19FI037_BL_ADL_M__SRR21484700.pair1.truncated	17.338362199152186	42.0	149.99984528221134	0.0	75324241.0
FI_19_R_19FI037_BL_ADL_M__SRR21484700.pair2.truncated	16.055220435462857	42.0	149.99991673331297	0.0	75324241.0
FI_19_R_19FI052_BL_ADL_F__SRR21484699.pair1.truncated	16.946236705976744	43.0	149.99984311014475	0.0	68831729.0
FI_19_R_19FI052_BL_ADL_F__SRR21484699.pair2.truncated	16.039645758469803	43.0	149.99991936858072	0.0	68831729.0
FI_19_R_19FI067_BL_ADL_M__SRR21484698.pair1.truncated	17.45169528358504	43.0	149.99984123359445	0.0	62840750.0
FI_19_R_19FI067_BL_ADL_M__SRR21484698.pair2.truncated	16.87329982420829	43.0	149.99991215890964	0.0	62840750.0
FI_19_R_19FI092_BL_ADL_M__SRR21484696.pair1.truncated	12.603009948691565	42.0	149.99926198747306	8.333333333333332	2437628.0
FI_19_R_19FI092_BL_ADL_M__SRR21484696.pair2.truncated	11.722793551041974	42.0	149.99998153943096	0.0	2437628.0
FI_19_R_19FI092_BL_ADL_M__SRR21484697.pair1.truncated	13.973418385587209	43.0	149.99993354432092	0.0	57105729.0
FI_19_R_19FI092_BL_ADL_M__SRR21484697.pair2.truncated	11.582915691229715	43.0	149.99999828388496	0.0	57105729.0
FI_19_R_19FI106_BL_ADL_M__SRR21484694.pair1.truncated	14.583848602119915	42.0	149.99998323263858	0.0	56299854.0
FI_19_R_19FI106_BL_ADL_M__SRR21484694.pair2.truncated	14.185399730339654	41.0	149.9999977442215	0.0	56299854.0
FI_19_R_19FI106_BL_ADL_M__SRR21484695.pair1.truncated	12.625756781028628	41.0	149.99922596214043	8.333333333333332	2284126.0
FI_19_R_19FI106_BL_ADL_M__SRR21484695.pair2.truncated	12.138475114423798	41.0	149.99998730367764	0.0	2284126.0
