Sample	Bismark_mqc-generalstats-bismark-percent_cpg_meth	Bismark_mqc-generalstats-bismark-percent_chg_meth	Bismark_mqc-generalstats-bismark-percent_chh_meth	Bismark_mqc-generalstats-bismark-total_c	Bismark_mqc-generalstats-bismark-aligned_reads	Bismark_mqc-generalstats-bismark-percent_aligned
CN_16_RG_2054_BL_ADL_F__SRR17643116__R1__493531dcfdd77195c1286a4c2c426c7b_val_1	40.3	0.7	0.5	90108147.0	2427993.0	68.74692789819537
CN_16_RG_2058_BL_ADL_F__SRR17643114__R1__c2dc561a0c87f26d5b53620b0460ca7f_val_1	38.0	0.7	0.5	93985753.0	2533841.0	68.78140689876827
CN_16_RG_2059_BL_ADL_M__SRR17643112__R1__c77da0ecdef2a14add742e2a2dd03a39_val_1	37.5	0.7	0.5	95707980.0	2596414.0	69.35681543771169
CN_16_RG_2063_BL_ADL_F__SRR17643109__R1__17c45d609f814a7eb1b2a053ee8397ff_val_1	38.7	0.7	0.5	77882267.0	2057570.0	69.66814711380526
CN_16_RG_2066_BL_ADL_M__SRR17643107__R1__eb787feee7a53f56ad5cfc5ec2bfd413_val_1	39.0	0.7	0.5	694019466.0	18037224.0	70.95653947244348
CN_16_RG_2068_BL_ADL_F__SRR17643106__R1__73449abaa1ad16a82e2aba4caac1eafc_val_1	37.5	0.7	0.5	95803671.0	2542058.0	69.30544820544698
CN_16_RG_2069_BL_ADL_M__SRR17643104__R1__0f4bf439679adeab09b193197e7c8310_val_1	37.5	0.7	0.5	519769611.0	13836508.0	69.87801139006129
CN_16_RG_2070_BL_ADL_F__SRR17643103__R1__38d2c886c50c07566937d334428ec61f_val_1	38.9	0.7	0.5	93171783.0	2500444.0	69.0934613269668
CN_16_RG_2072_BL_ADL_M__SRR17643101__R1__131ecfc11dae172e30354139d73fc55e_val_1	36.8	0.7	0.5	95954525.0	2596140.0	69.5847440727502
CN_16_RG_2074_BL_ADL_M__SRR17643163__R1__c7d82dcdc159b4bf3d3db18ca58dd41d_val_1	37.6	0.7	0.5	616440217.0	16177181.0	71.1160934266069
CN_17_RG_1705_BL_ADL_M__SRR17643020__R1__c4c3220798e15344d6fe5cad0bb0b29e_val_1	37.0	0.7	0.5	72644344.0	1959507.0	68.70427255250449
CN_17_RG_2077_BL_ADL_M__SRR17643162__R1__ec4b689cbe3964172767da5940443c34_val_1	38.0	0.7	0.5	95684321.0	2588024.0	70.0373781799327
CN_17_RG_2079_BL_ADL_F__SRR17643160__R1__8709fd6d07af18d59c4849d38f090ec9_val_1	38.1	0.7	0.5	547991351.0	14715798.0	68.11366529033455
CN_17_RG_2081_BL_ADL_F__SRR17643159__R1__8cdbffccf62924da751171aa968299c0_val_1	38.7	0.7	0.5	552424406.0	14192936.0	69.28972222229002
CN_17_RG_2082_BL_ADL_F__SRR17643157__R1__32cec8f00e76b1931b6c2b15dd533ba9_val_1	39.3	0.7	0.5	654818022.0	17664575.0	68.65448698084892
CN_17_RG_2086_BL_ADL_F__SRR17643156__R1__fbbdba2e20a5e336f7be9473daced88a_val_1	39.6	0.7	0.5	74898838.0	2033875.0	66.55047430761493
CN_17_RG_2087_BL_ADL_M__SRR17643272__R1__6ccaa1e00e6095a9ba2f8eed78c0b38a_val_1	37.0	0.7	0.5	696552190.0	18810570.0	69.69551504240033
CN_17_RG_2091_BL_ADL_F__SRR17643271__R1__f3e2650773095cc4bfc151c931869ab4_val_1	38.8	0.7	0.5	88290176.0	2372201.0	68.75084047446812
CN_17_RG_2093_BL_ADL_M__SRR17643269__R1__37ba84630d1f4efd2b9d2560ed0665fb_val_1	37.4	0.7	0.5	84603022.0	2249445.0	68.95668543670928
CN_17_RG_2094_BL_ADL_F__SRR17643267__R1__fbef794847220ed54548ad391a8f172e_val_1	39.3	0.7	0.5	85548393.0	2290304.0	68.1930757188055
CN_17_RG_2099_BL_ADL_M__SRR17643265__R1__2a8e6ac49b7aef13efedce9ddb76c033_val_1	37.1	0.7	0.5	589878344.0	16171539.0	69.0222820880066
CN_17_RG_2102_BL_ADL_F__SRR17643254__R1__b84c31d21811d7ddd65599285b329bb4_val_1	37.5	0.7	0.5	594761304.0	16223184.0	69.98562642766709
