Sample	Bismark_mqc-generalstats-bismark-percent_cpg_meth	Bismark_mqc-generalstats-bismark-percent_chg_meth	Bismark_mqc-generalstats-bismark-percent_chh_meth	Bismark_mqc-generalstats-bismark-total_c	Bismark_mqc-generalstats-bismark-aligned_reads	Bismark_mqc-generalstats-bismark-percent_aligned
RU_13_RT_VN96182_BL_ADL_M__SRR17643180__R1__799ac7dad174606d9258b6c156c9c65f_val_1	36.3	0.6	0.5	593281428.0	15584929.0	68.37501442309168
RU_13_RT_VN96190_BL_ADL_F__SRR17643178__R1__4cfc8bf2019ef2cc8e1f0f3ee62dab77_val_1	39.4	0.7	0.5	611483527.0	16214870.0	65.39472272657245
RU_13_RT_VN96194_BL_ADL_M__SRR17643177__R1__f7c870ffb2f3043b3370cee34f728082_val_1	37.7	0.7	0.5	449572866.0	12240334.0	67.5494207933187
RU_13_RT_VN96198_BL_ADL_M__SRR17643174__R1__eb56442e069dfb023f67655d86468503_val_1	35.6	0.7	0.5	95103894.0	2499167.0	69.38614990626971
RU_13_RT_VN96200_BL_ADL_M__SRR17643172__R1__f6c5008fdcc59665ef87dde17b743075_val_1	37.8	0.7	0.5	425400592.0	11323283.0	68.34907340819693
RU_13_R_VN96102_BL_ADL_M__SRR17643199__R1__a8d776c15146ea9675d8b00a77bd0171_val_1	35.6	0.7	0.5	579938486.0	15365592.0	68.81846142986937
RU_13_R_VN96106_BL_ADL_M__SRR17643197__R1__8979fa0934ae99b221bed40f1d32725f_val_1	36.5	0.7	0.5	547811660.0	14299614.0	69.26418236947443
RU_13_R_VN96110_BL_ADL_M__SRR17643196__R1__ca608663807ebeb734e4978b62291a4d_val_1	36.3	0.7	0.5	768708446.0	20852281.0	67.69224181789332
RU_13_R_VN96113_BL_ADL_F__SRR17643194__R1__3753c9cea8b3f6f54a1826090b415014_val_1	39.3	0.7	0.5	586526296.0	15776778.0	68.45746248476532
RU_13_R_VN96116_BL_ADL_M__SRR17643193__R1__74339f33358263944d5fed441f7a02d5_val_1	37.7	0.7	0.5	564709093.0	15469712.0	67.60565842363394
RU_13_R_VN96117_BL_ADL_F__SRR17643095__R1__9675b7ab7bb77c4d7157ec82718eb85d_val_1	36.6	0.7	0.5	433754330.0	11678165.0	69.05674654125379
RU_13_R_VN96118_BL_ADL_F__SRR17643093__R1__4bebe8f37d9d7296f6d837d176e69705_val_1	37.7	0.7	0.5	596756853.0	16243068.0	67.97367404811727
RU_13_R_VN96122_BL_ADL_F__SRR17643091__R1__a7746ed7407290ba77d789ab4553779e_val_1	38.6	0.7	0.5	558094316.0	14849436.0	70.38960109385329
RU_13_R_VN96123_BL_ADL_M__SRR17643090__R1__90a2a5d1e60680c4eaf23a92d4e85ed2_val_1	36.3	0.7	0.5	508250721.0	13640486.0	68.94911094957286
RU_13_R_VN96124_BL_ADL_F__SRR17643089__R1__e35d40950417797f7d247d39e61d66cc_val_1	38.7	0.7	0.6	481930723.0	12721787.0	66.13325455293649
RU_13_R_VN96298_BL_ADL_F__SRR17643170__R1__a8acda577c38c89dfae3554ca5c119f9_val_1	37.2	0.7	0.5	521013002.0	14237876.0	69.8410393700772
RU_13_R_VN96300_BL_ADL_F__SRR17643169__R1__034fe3d7e171d95eb1654c54c797ad67_val_1	36.8	0.7	0.5	696413998.0	18526694.0	67.4352256978935
RU_13_T_NB019_BL_ADL_M__SRR17643130__R1__01db0c6c654c31dd32f1ab2a15a7c9c1_val_1	35.8	0.7	0.5	590688413.0	15983631.0	70.16988449227752
RU_13_T_NB027_BL_ADL_M__SRR17643128__R1__904ae72148c913cd5677dae9e2e4470f_val_1	37.6	0.7	0.5	486430841.0	13240521.0	69.08048415374833
RU_13_T_NB028_BL_ADL_F__SRR17643246__R1__1e0d06451c09497a67db0f7ea8a1b2f2_val_1	38.0	0.7	0.5	109640992.0	2972754.0	66.69527943214804
RU_13_T_NB029_BL_ADL_F__SRR17643245__R1__75d2297b437a4d60886f4d0342e9c409_val_1	37.5	0.8	0.6	459122264.0	11835301.0	62.42095590397301
RU_13_T_NB031_BL_ADL_F__SRR17643243__R1__79076aba851a6eceb1f9454947833b12_val_1	37.7	0.6	0.4	798885657.0	20989169.0	69.49183400547851
RU_13_T_NB033_BL_ADL_F__SRR17643242__R1__0d2a5ca543904311d9b6d48fae8f0a2a_val_1	37.0	0.7	0.5	453086416.0	12145416.0	69.75891295385249
RU_13_T_NB038_BL_ADL_M__SRR17643241__R1__7266583cbfae69b4111103901d3f9c26_val_1	38.6	0.7	0.5	600478604.0	16460867.0	66.73819494529803
RU_13_T_NB040_BL_ADL_F__SRR17643239__R1__f5417ab283b742066d750233f5720237_val_1	38.3	0.7	0.5	497306179.0	13547625.0	66.79479216941024
RU_13_T_NB041_BL_ADL_F__SRR17643237__R1__be8284cc10e66aba4649525e32dc9c21_val_1	36.4	0.7	0.5	805019932.0	22540699.0	69.91134468068239
RU_17_T_NB022_BL_ADL_M__SRR17643129__R1__11ef679279025821f84ff68eb24b3ace_val_1	35.2	0.7	0.5	594136280.0	15660229.0	70.95327043352947
RU_17_T_NB030_BL_ADL_F__SRR17643244__R1__805d12dd4fff1206bd1639e1c8994323_val_1	38.8	0.7	0.5	700357192.0	19128025.0	67.32411185206566
US_02_E_2171-28178_BL_ADL_U__SRR17643143__R1__aa880e36c9117e89f7161e74f8e23765_val_1	39.5	0.7	0.5	92384812.0	2496418.0	65.86639381719436
US_02_E_2171-28179_BL_ADL_U__SRR17643141__R1__5b595b04d7da0c61bdda941ed5bf959f_val_1	37.4	0.7	0.5	710139151.0	19373580.0	66.5149819369834
US_02_E_2171-28186_BL_ADL_U__SRR17777319__R1__595fff3263be7ecd95ef49cd54e5cfb9_val_1	38.3	0.7	0.5	66864669.0	1835898.0	67.64569226648135
US_02_E_2171-28193_BL_ADL_U__SRR17643140__R1__dcba160de94897f720bfb2cd2ed03775_val_1	38.0	0.7	0.5	507718250.0	13963003.0	65.20505661999998
US_02_E_3121-88807_BL_ADL_U__SRR17643139__R1__aa8b574ceab6098eef9efd566cd22748_val_1	36.6	0.7	0.5	57403573.0	1576784.0	67.36254257729276
US_02_E_3121-88831_BL_ADL_U__SRR17643137__R1__37bc2d49bd4dcdbb74b5786cc24de1f9_val_1	36.4	0.7	0.5	416053215.0	11192998.0	63.92791867439757
US_02_E_3121-88841_BL_ADL_U__SRR17643134__R1__94bf11aa2e0f2e24f5a4041680f04760_val_1	38.1	0.7	0.5	79338929.0	2125526.0	67.98063367218224
