Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
CH_18_R_18CH024_BL_ADL_M__SRR17643018__R1__d26a809a141ff3606bbb012b518a4454	15.0	13.5	310.0	1141.5	2359.0	4241.5	7106.5	10974.5	15644.0	21305.5	28458.0	37129.5	47967.5	61905.5	80094.0	103764.5	133842.0	170891.5	216413.0	270967.0	331283.5	402425.0	477822.0	553471.5	634888.5	709041.5	779028.5	854047.0	931989.5	999055.5	1051336.5	1094340.0	1129002.0	1154389.0	1172306.5	1188345.0	1172596.5	1133340.5	1098395.0	1048243.0	985976.5	915485.0	836099.5	763529.5	694216.0	626208.5	565499.5	511228.0	464171.0	412224.0	350412.5	289697.0	244545.0	211585.0	179677.5	149345.5	119019.5	95784.5	80042.0	64180.0	49296.0	38722.0	31522.0	24964.5	18441.0	14476.0	12162.5	10140.5	9422.5	9421.5	7888.0	4953.5	3140.5	2387.0	1893.0	1642.0	1587.0	2181.5	3208.0	2864.5	1166.0	230.0	52.5	7.5	4.5	3.5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.5	0.0	0.5	0.5
CH_18_R_18CH024_BL_ADL_M__SRR17643018__R2__17ad972594331183f0fdcc22c7b1e5ed	17.0	766.0	2046.5	3257.0	4895.5	7596.0	12095.5	17776.0	21113.5	23292.5	28189.0	34277.5	43416.0	59174.5	82953.5	111823.5	142917.5	180882.5	230571.0	287143.0	357259.0	445151.5	527505.5	607565.5	704957.0	781793.0	844023.5	921299.0	979917.5	1037814.0	1089204.5	1122698.0	1160769.5	1176852.0	1180242.5	1186655.5	1174223.5	1120511.0	1059232.5	1013346.5	943954.0	857416.0	779812.5	712338.0	651509.5	587550.0	513944.5	443721.0	385444.5	333463.5	287681.5	251001.5	217718.5	185866.0	156838.5	130366.0	108162.5	88952.5	72165.0	58830.5	46353.5	36746.5	30937.0	26591.5	22712.0	19809.5	19339.5	19725.0	17059.5	13195.5	11541.5	11153.5	12199.5	10611.0	8246.5	9042.0	9717.5	8388.5	6481.0	5468.5	4781.0	4253.0	3897.5	3616.0	3518.5	3280.0	2951.0	2625.0	2247.0	2000.0	1766.5	1696.0	1594.5	1332.0	999.5	729.5	667.0	570.0	330.5	140.0	182.0
CH_18_R_18CH081_BL_ADL_M__SRR17643017__R1__4a1dc631af59269ba7ecf92fe45ea120	9.0	13.5	321.0	1145.0	2251.0	3774.5	6021.5	8877.5	12505.0	17246.5	23069.5	30764.5	40793.5	52970.0	68714.5	89899.5	118405.0	153388.5	194163.5	241838.0	296434.0	359757.0	426830.0	495377.5	567087.5	632448.5	694835.5	759546.5	826179.5	887093.5	938302.5	980400.0	1004689.0	1021481.5	1031957.5	1030479.0	1016811.0	990833.5	959341.5	915329.5	862283.5	799450.0	731048.0	670265.0	605614.0	540878.0	484680.5	433717.0	386497.5	338694.5	288266.0	241089.0	204282.0	174922.0	147933.5	121955.5	96576.5	76998.5	62754.0	49203.5	37393.5	28244.5	21521.5	16480.5	12147.5	9283.5	7681.5	6340.5	5214.0	4592.0	3694.0	2332.0	1452.5	1188.0	974.0	749.0	529.0	362.0	207.0	78.0	28.0	12.5	7.0	6.0	3.5	1.5	1.5	0.0	1.0	1.5	0.5	0.0	0.5	0.5	0.0	0.0	5.0	5.5	1.5	1.0	0.0
CH_18_R_18CH081_BL_ADL_M__SRR17643017__R2__26b4b61ae8dbc573a322e0a52defbcc0	12.0	912.5	2295.5	3541.0	5158.0	7291.0	11215.5	16927.0	20684.5	23418.5	30061.5	39132.5	49861.0	66210.0	89270.5	115482.0	146549.0	186216.0	233965.0	287108.5	352972.0	430145.0	499435.0	567151.5	639561.5	704377.0	769006.5	835394.0	883530.0	933082.0	972153.0	992360.0	1015028.0	1019933.0	1012826.0	1003010.0	972927.0	927043.5	888967.0	851379.0	797759.0	733813.5	665911.0	602906.5	546834.0	489014.0	430583.0	374270.5	323440.5	278155.5	236417.0	203462.0	177278.0	149097.0	123490.5	102053.0	82751.0	66872.5	53831.0	43720.5	34965.5	27967.5	23554.0	20277.5	17374.0	15393.5	14351.5	13374.5	12077.5	10589.0	9392.0	8486.0	8036.0	7118.0	6140.0	5734.0	5397.5	4992.5	4433.5	4049.5	3807.0	3534.0	3204.0	3013.0	2970.5	2747.0	2477.0	2269.0	2067.0	1878.5	1737.0	1576.0	1530.5	1375.5	984.0	758.0	744.5	624.0	323.0	144.5	182.0
CH_19_R_19CH005_BL_ADL_M__SRR17643013__R1__089f55eeb1d28767c339c9405a50484e	33.0	36.0	360.5	1472.0	3135.5	5429.5	8938.0	13702.0	19374.0	26416.0	34970.5	45110.5	58304.0	75144.5	95858.0	124036.0	160122.5	202359.5	253271.5	312929.0	379507.0	456129.5	537079.5	618409.0	705369.0	781436.5	848260.0	919193.0	990491.0	1056833.0	1110285.5	1150139.5	1182051.5	1208174.5	1224245.5	1240879.5	1230505.0	1188375.5	1146267.0	1090908.0	1024001.0	947036.0	863432.5	786952.0	712127.0	643544.5	585453.0	534203.0	490079.5	434776.0	365925.5	302463.0	256354.0	222497.5	190577.5	157807.5	125143.5	101393.0	85140.0	69226.0	54239.5	43376.5	36857.5	30756.5	23090.0	17231.5	13649.0	11382.5	10717.5	10708.0	8780.5	5580.0	3884.5	3003.0	2170.0	1998.5	2346.5	3271.5	4279.5	3307.0	1147.0	221.5	45.5	8.0	4.5	3.5	3.0	0.5	0.5	0.5	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.5	1.0	0.5	0.0
CH_19_R_19CH005_BL_ADL_M__SRR17643013__R2__1cd29a2cf680022859101c3a937cbe74	19.0	1165.0	2936.0	4397.0	6467.5	9966.5	15181.0	22155.0	27151.5	30514.0	37667.0	46725.5	58236.0	76871.5	105073.5	138676.0	174581.0	218170.5	272780.5	335291.0	413028.0	506923.0	595279.0	682120.5	786963.5	863414.5	920479.0	993196.5	1048214.5	1109079.0	1156069.0	1180686.0	1212071.0	1218349.5	1217174.0	1223935.0	1222686.5	1172514.0	1097697.0	1037928.5	960260.5	874553.0	795765.5	729695.0	669637.5	604258.5	534076.0	460689.0	396848.5	344769.5	297194.5	259438.5	228829.5	199217.5	169077.0	139575.5	115813.5	95005.5	76137.5	62102.0	49047.0	39052.5	33874.5	30054.5	25708.0	22541.5	22235.0	22021.0	18387.5	14223.5	12724.5	12897.5	14844.0	13146.0	10501.0	11676.0	12241.0	9860.0	7024.0	5761.5	5014.5	4608.0	4246.0	4045.5	4058.0	3980.0	3696.0	3229.5	2823.5	2518.5	2281.0	2096.0	1974.0	1774.0	1483.5	1203.0	1016.0	844.0	580.5	371.5	717.5
CH_19_R_19CH008_BL_ADL_F__SRR17643012__R1__0337ff931531a685c552893ce7dd505e	30.0	29.5	292.0	1285.0	2807.5	4684.0	7237.5	10562.0	14470.5	19567.0	26352.5	34751.5	45545.5	58542.0	74740.5	97844.0	128801.5	164455.5	205351.5	254229.0	311585.5	376904.5	443552.0	509366.5	579491.0	642700.5	698385.5	755404.0	811894.5	863859.5	911153.0	948126.0	969836.5	990405.5	1005393.5	998777.0	977554.5	951763.5	922481.5	880280.5	826906.0	763837.0	696333.0	638482.5	577355.0	515114.5	462321.0	418414.5	379369.5	333309.5	281679.5	235916.5	199403.0	170014.5	146173.0	122791.0	98700.0	80663.0	67354.0	54602.0	42572.0	32453.0	25476.0	20189.0	15605.5	12373.5	10035.0	8389.0	7519.5	6729.0	5114.0	3075.0	1809.0	1459.5	1306.0	1143.0	952.0	766.0	456.0	154.0	46.5	18.5	8.5	6.5	4.0	2.5	2.0	1.5	1.0	0.5	0.5	1.0	1.0	1.0	0.5	1.0	1.5	2.0	4.0	2.5	0.0
CH_19_R_19CH008_BL_ADL_F__SRR17643012__R2__ef7d648a5264afbdd048e1610e0da13e	25.0	1107.0	2876.5	4509.0	6695.0	9557.0	13641.0	19995.0	24595.5	27609.0	35065.0	44887.0	55804.5	73137.5	98749.5	129276.5	163088.0	202387.0	249618.5	304492.5	371485.0	448423.0	515820.5	583175.5	657305.5	715463.0	767300.5	827616.5	875342.0	921998.5	958070.5	971495.5	989227.0	992366.5	984806.5	974030.0	945759.5	894464.0	843987.0	802729.5	750837.5	686314.0	617183.5	564097.5	517126.5	460478.0	400742.5	347716.0	302879.5	263282.0	227567.0	197077.0	170198.0	143327.0	120072.0	100647.5	84343.0	70077.0	57227.5	46833.0	37225.0	29635.0	25489.0	22511.5	19480.5	17352.0	16638.0	15575.5	13759.0	12063.0	10612.5	9809.0	9779.0	8564.0	7247.5	7023.0	6453.5	5707.5	5133.5	4743.5	4376.5	4043.5	3862.0	3778.5	3742.0	3544.5	3253.0	2943.0	2577.0	2211.0	1947.5	1798.0	1708.0	1486.0	1163.0	979.0	922.0	737.5	435.0	221.5	219.5
CH_19_R_19CH091_BL_ADL_M__SRR17643068__R1__ba4871885bba09ec9a877673464579c2	22.0	20.5	354.5	1417.5	2866.0	4699.5	7360.0	10822.5	15185.0	20938.5	27702.0	36462.0	47967.5	61683.0	79269.5	103506.5	135946.5	175619.0	220649.0	273153.5	335077.0	405346.5	476297.0	550144.5	628224.5	699992.5	769191.0	837715.0	902781.5	963535.5	1017751.5	1059299.0	1083125.5	1101072.5	1110334.0	1110215.5	1094063.5	1060408.5	1022646.5	971675.5	908427.5	835768.5	764845.5	700058.0	630809.0	563112.0	502298.5	450074.5	402581.5	350873.5	298681.5	250806.0	211367.0	179463.0	151690.5	126395.5	101036.0	80611.0	65726.5	51785.5	39682.0	30308.0	23246.5	18195.5	13595.5	10142.5	8229.5	6841.0	6244.5	6102.5	4835.5	2735.0	1569.0	1331.5	1231.5	944.5	641.0	526.0	451.5	237.5	63.5	21.0	6.5	5.0	3.0	1.5	0.5	0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0	2.5	3.0	3.5	4.5	1.5	0.0
