Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
CH_20_R_20CH006_BL_ADL_F__SRR17643260__R2__dd6a0094d6d273df77c87e3fd5b66c67	CH_20_R_20CH006_BL_ADL_F__SRR17643260__R2__dd6a0094d6d273df77c87e3fd5b66c67.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28530339.0	0.0	150.0	36.0	21.8295121320174	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CN_14_G_1086_BL_ADL_M__SRR17643275__R1__1969570b6fc708c33cad733317ff37d0	CN_14_G_1086_BL_ADL_M__SRR17643275__R1__1969570b6fc708c33cad733317ff37d0.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24312655.0	0.0	150.0	38.0	28.194067916190114	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	fail
CN_14_G_1086_BL_ADL_M__SRR17643275__R2__38285d94f674880da3615b01cbe20504	CN_14_G_1086_BL_ADL_M__SRR17643275__R2__38285d94f674880da3615b01cbe20504.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24312655.0	0.0	150.0	38.0	23.03877583438882	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CN_14_G_1089_BL_ADL_M__SRR17643192__R1__66e0a2b53593b2676a0ff327f947e920	CN_14_G_1089_BL_ADL_M__SRR17643192__R1__66e0a2b53593b2676a0ff327f947e920.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2232515.0	0.0	150.0	35.0	51.331830300934925	150.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	warn	fail
CN_14_G_1089_BL_ADL_M__SRR17643192__R2__5f486f14c262d296e8d87c43a27f0a37	CN_14_G_1089_BL_ADL_M__SRR17643192__R2__5f486f14c262d296e8d87c43a27f0a37.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2232515.0	0.0	150.0	37.0	45.16506116478914	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CN_14_G_1089_BL_ADL_M__SRR17643274__R1__898d298f3bc6bc2850d9d6b58412ab6c	CN_14_G_1089_BL_ADL_M__SRR17643274__R1__898d298f3bc6bc2850d9d6b58412ab6c.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16485059.0	0.0	150.0	36.0	28.290714297865684	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CN_14_G_1089_BL_ADL_M__SRR17643274__R2__b31e4f8af3774cfad4158e0172990015	CN_14_G_1089_BL_ADL_M__SRR17643274__R2__b31e4f8af3774cfad4158e0172990015.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16485059.0	0.0	150.0	37.0	24.417334524903968	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CN_14_G_1093_BL_ADL_M__SRR17643022__R1__45a284e228130f86ed96a1cb4cc54d18	CN_14_G_1093_BL_ADL_M__SRR17643022__R1__45a284e228130f86ed96a1cb4cc54d18.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30389741.0	0.0	150.0	38.0	26.626529468589872	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CN_14_G_1093_BL_ADL_M__SRR17643022__R2__c1e67404b4de4037c05ee2c9bb70933f	CN_14_G_1093_BL_ADL_M__SRR17643022__R2__c1e67404b4de4037c05ee2c9bb70933f.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30389741.0	0.0	150.0	38.0	21.87100013785471	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CN_14_G_1094_BL_ADL_F__SRR17643069__R1__3fbf3afa698261550ee064fdeee00583	CN_14_G_1094_BL_ADL_F__SRR17643069__R1__3fbf3afa698261550ee064fdeee00583.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26303685.0	0.0	150.0	37.0	27.10341776771831	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CN_14_G_1094_BL_ADL_F__SRR17643069__R2__afcbf4ada79a47ce4c2c9123c7607f83	CN_14_G_1094_BL_ADL_F__SRR17643069__R2__afcbf4ada79a47ce4c2c9123c7607f83.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26303685.0	0.0	150.0	37.0	21.995559922616202	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
CN_14_G_1097_BL_ADL_F__SRR17643047__R1__e64bc39d9b28ccb985fb23afe2a8bb42	CN_14_G_1097_BL_ADL_F__SRR17643047__R1__e64bc39d9b28ccb985fb23afe2a8bb42.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3148632.0	0.0	150.0	36.0	46.83569475749849	150.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	fail
