Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
IL_15_TV_X242072_BL_ADL_M__SRR17643033__R1__1dbe8867019bc99328854d5fb0296790_val_1	IL_15_TV_X242072_BL_ADL_M__SRR17643033__R1__1dbe8867019bc99328854d5fb0296790_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16126369.0	0.0	20-150	33.0	33.50092269983422	123.34884294164421	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
IL_15_TV_X242072_BL_ADL_M__SRR17643033__R2__c22953623b2a0f207a41acdbc8d879dd_val_2	IL_15_TV_X242072_BL_ADL_M__SRR17643033__R2__c22953623b2a0f207a41acdbc8d879dd_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16126369.0	0.0	20-148	33.0	25.875931837443524	119.53098884193956	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
IL_15_TV_X242072_BL_ADL_M__SRR17643034__R1__d7f55ea1a690cf9bf823e8883ac0cf40_val_1	IL_15_TV_X242072_BL_ADL_M__SRR17643034__R1__d7f55ea1a690cf9bf823e8883ac0cf40_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3794130.0	0.0	20-150	33.0	45.90537261291608	121.15877737452328	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
IL_15_TV_X242072_BL_ADL_M__SRR17643034__R2__626754d6359cc9dcb07f5384227ebd0e_val_2	IL_15_TV_X242072_BL_ADL_M__SRR17643034__R2__626754d6359cc9dcb07f5384227ebd0e_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3794130.0	0.0	20-148	33.0	39.82276369658091	119.4033480666187	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
IL_15_TV_X242077_BL_ADL_M__SRR17643031__R1__0c17322a0bea980bb20366ca92b0c0a4_val_1	IL_15_TV_X242077_BL_ADL_M__SRR17643031__R1__0c17322a0bea980bb20366ca92b0c0a4_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15854559.0	0.0	20-150	32.0	33.37779443138088	124.59595867661787	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
IL_15_TV_X242077_BL_ADL_M__SRR17643031__R2__942913ddc8935b2fe8a2930e3dea9ecc_val_2	IL_15_TV_X242077_BL_ADL_M__SRR17643031__R2__942913ddc8935b2fe8a2930e3dea9ecc_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15854559.0	0.0	20-148	33.0	25.83053865424564	120.98128418456798	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
IL_15_TV_X242077_BL_ADL_M__SRR17643032__R1__5866792e5b93a77dcf84fc225922b7c7_val_1	IL_15_TV_X242077_BL_ADL_M__SRR17643032__R1__5866792e5b93a77dcf84fc225922b7c7_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3591910.0	0.0	20-150	33.0	46.62462971977335	122.32715407680037	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
IL_15_TV_X242077_BL_ADL_M__SRR17643032__R2__de075875466fe374cf78412030959935_val_2	IL_15_TV_X242077_BL_ADL_M__SRR17643032__R2__de075875466fe374cf78412030959935_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3591910.0	0.0	20-148	33.0	40.61860125344776	120.7744083231484	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
RU_13_RT_VN96011_BL_ADL_F__SRR17643222__R1__10baf97304f33b1b504feaa5a5675044_val_1	RU_13_RT_VN96011_BL_ADL_F__SRR17643222__R1__10baf97304f33b1b504feaa5a5675044_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20518599.0	0.0	20-150	33.0	28.128146285814726	119.15586570993467	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
RU_13_RT_VN96011_BL_ADL_F__SRR17643222__R2__08d90317e176d734ceebe674969fbb9d_val_2	RU_13_RT_VN96011_BL_ADL_F__SRR17643222__R2__08d90317e176d734ceebe674969fbb9d_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20518599.0	0.0	20-148	33.0	23.943158669008504	117.9238981179953	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
RU_13_RT_VN96022_BL_ADL_M__SRR17643221__R1__ad92ff284dc52bc0cad8c50e691c27fb_val_1	RU_13_RT_VN96022_BL_ADL_M__SRR17643221__R1__ad92ff284dc52bc0cad8c50e691c27fb_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24680032.0	0.0	20-150	34.0	28.613541732950697	119.34451689527793	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
RU_13_RT_VN96022_BL_ADL_M__SRR17643221__R2__3bbe34a09dbb412158d35802c886dd66_val_2	RU_13_RT_VN96022_BL_ADL_M__SRR17643221__R2__3bbe34a09dbb412158d35802c886dd66_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24680032.0	0.0	20-148	34.0	23.30640120722888	117.7635492530966	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
RU_13_RT_VN96023_BL_ADL_M__SRR17643220__R1__bfb6317a126f8da393c76b210d01838e_val_1	RU_13_RT_VN96023_BL_ADL_M__SRR17643220__R1__bfb6317a126f8da393c76b210d01838e_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29824560.0	0.0	20-150	34.0	28.21876537106313	116.71211561880544	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
RU_13_RT_VN96023_BL_ADL_M__SRR17643220__R2__e6d2e16efbf4792bc1dd203fe8e8c10b_val_2	RU_13_RT_VN96023_BL_ADL_M__SRR17643220__R2__e6d2e16efbf4792bc1dd203fe8e8c10b_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29824560.0	0.0	20-148	34.0	21.972955227688466	115.54113321370039	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
RU_13_RT_VN96026_BL_ADL_M__SRR17643218__R1__e27b90a47d9556b37b0f06da1d9fdf06_val_1	RU_13_RT_VN96026_BL_ADL_M__SRR17643218__R1__e27b90a47d9556b37b0f06da1d9fdf06_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3112688.0	0.0	20-150	33.0	49.10225915252448	120.50194462149756	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
RU_13_RT_VN96026_BL_ADL_M__SRR17643218__R2__d92fe8473bc259b5064fc8f68994a224_val_2	RU_13_RT_VN96026_BL_ADL_M__SRR17643218__R2__d92fe8473bc259b5064fc8f68994a224_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3112688.0	0.0	20-148	33.0	41.689048875116	118.35361783770169	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
RU_13_RT_VN96026_BL_ADL_M__SRR17643219__R1__e9b74ae1c40e87e5dc98c5e2ae4b8735_val_1	RU_13_RT_VN96026_BL_ADL_M__SRR17643219__R1__e9b74ae1c40e87e5dc98c5e2ae4b8735_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21500836.0	0.0	20-150	33.0	28.102702208625058	120.23841086923318	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
RU_13_RT_VN96026_BL_ADL_M__SRR17643219__R2__614c6ef57b82117d5f97fda14b1ac193_val_2	RU_13_RT_VN96026_BL_ADL_M__SRR17643219__R2__614c6ef57b82117d5f97fda14b1ac193_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21500836.0	0.0	20-148	33.0	24.021177019409095	118.44174463727829	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
RU_13_RT_VN96034_BL_ADL_M__SRR17643217__R1__2e0dcf5b153e4200ebebf865ed1576ff_val_1	RU_13_RT_VN96034_BL_ADL_M__SRR17643217__R1__2e0dcf5b153e4200ebebf865ed1576ff_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23817745.0	0.0	20-150	34.0	28.72731283010478	119.42366831956593	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
RU_13_RT_VN96034_BL_ADL_M__SRR17643217__R2__3fed0ff746039fe797068f52ececcb9a_val_2	RU_13_RT_VN96034_BL_ADL_M__SRR17643217__R2__3fed0ff746039fe797068f52ececcb9a_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23817745.0	0.0	20-148	34.0	23.19999550917518	117.81929964402592	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
RU_13_RT_VN96035_BL_ADL_F__SRR17643215__R1__e43fb682324ec39ad005903118540dc1_val_1	RU_13_RT_VN96035_BL_ADL_F__SRR17643215__R1__e43fb682324ec39ad005903118540dc1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3686629.0	0.0	20-150	33.0	47.67533125159229	121.93906275895947	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
RU_13_RT_VN96035_BL_ADL_F__SRR17643215__R2__93f0b75f8dbe069cf0cab1cf975a59fd_val_2	RU_13_RT_VN96035_BL_ADL_F__SRR17643215__R2__93f0b75f8dbe069cf0cab1cf975a59fd_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3686629.0	0.0	20-148	33.0	39.094651544047565	119.73881912175052	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
RU_13_RT_VN96035_BL_ADL_F__SRR17643216__R1__7eb03ef2de59f51a28db5dce0e6aa75d_val_1	RU_13_RT_VN96035_BL_ADL_F__SRR17643216__R1__7eb03ef2de59f51a28db5dce0e6aa75d_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21940931.0	0.0	20-150	33.0	26.83065793072956	121.90635429280553	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
RU_13_RT_VN96035_BL_ADL_F__SRR17643216__R2__a630cf3012a98d2230897e9c1371e3e1_val_2	RU_13_RT_VN96035_BL_ADL_F__SRR17643216__R2__a630cf3012a98d2230897e9c1371e3e1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21940931.0	0.0	20-148	33.0	23.208216042702702	119.90935968031621	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
RU_13_RT_VN96037_BL_ADL_M__SRR17643212__R1__2e544e2430011b80db11c2ddd73dced3_val_1	RU_13_RT_VN96037_BL_ADL_M__SRR17643212__R1__2e544e2430011b80db11c2ddd73dced3_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2744379.0	0.0	20-150	33.0	50.79271542170659	121.32108138125237	pass	pass	warn	pass	fail	pass	pass	warn	warn	pass	pass
RU_13_RT_VN96037_BL_ADL_M__SRR17643212__R2__aafeadba9c280f9f22d90159240fd142_val_2	RU_13_RT_VN96037_BL_ADL_M__SRR17643212__R2__aafeadba9c280f9f22d90159240fd142_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2744379.0	0.0	20-148	33.0	43.20883292556244	119.28405770485782	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass
RU_13_RT_VN96037_BL_ADL_M__SRR17643213__R1__3a9baefd0627e5bbdcbfd4e7a393f182_val_1	RU_13_RT_VN96037_BL_ADL_M__SRR17643213__R1__3a9baefd0627e5bbdcbfd4e7a393f182_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17564415.0	0.0	20-150	33.0	28.884208778552306	121.08470074295101	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
