Sample	Unique Reads	Duplicate Reads
CN_16_RG_1652_BL_ADL_F__SRR17643021__R2__0748bde9837bf98795dd7cfd84bfb0e9_val_2	6235771.0	20460489.0
CN_16_RG_2014_BL_ADL_F__SRR17643054__R1__3701085736bcf83fd406a2eca1b603d7_val_1	5533745.0	15066845.0
CN_16_RG_2014_BL_ADL_F__SRR17643054__R2__2bf134f1b37a67746eafd417745685cf_val_2	4860031.0	15740559.0
CN_16_RG_2014_BL_ADL_F__SRR17643055__R1__b9440af1d0ee3f2d053ba6cb21b1cbcb_val_1	1553478.0	1729914.0
CN_16_RG_2014_BL_ADL_F__SRR17643055__R2__e68fd0fc649bfae8baac753805e88e66_val_2	1329637.0	1953755.0
CN_16_RG_2017_BL_ADL_F__SRR17643053__R1__90a2c074ce9aded2eabc8f444c90dab9_val_1	7963369.0	20882818.0
CN_16_RG_2017_BL_ADL_F__SRR17643053__R2__9fe532ea4480f2fa897de4f3d23be423_val_2	6119287.0	22726900.0
CN_16_RG_2019_BL_ADL_F__SRR17643051__R1__5e6b89aa2b0a7986f68ff908f3ce4853_val_1	1443972.0	1431534.0
CN_16_RG_2019_BL_ADL_F__SRR17643051__R2__3b8a4134500b808e5da593d807bcd5a1_val_2	1238657.0	1636849.0
CN_16_RG_2019_BL_ADL_F__SRR17643052__R1__690ea0720f9157d35b7351495080d4b4_val_1	5448532.0	14385038.0
CN_16_RG_2019_BL_ADL_F__SRR17643052__R2__643a37b91ec3f54a4cc50e19ec91ad03_val_2	4793431.0	15040139.0
CN_16_RG_2020_BL_ADL_M__SRR17643049__R1__c45d188f4d3f43b031a1b13fd63f89b5_val_1	1611212.0	1797728.0
CN_16_RG_2020_BL_ADL_M__SRR17643049__R2__670dac95f5294eec9621e4f345cdf22d_val_2	1339767.0	2069173.0
CN_16_RG_2020_BL_ADL_M__SRR17643050__R1__4136cc7c1b11bd36bc5ac494834150d7_val_1	4955434.0	13333265.0
CN_16_RG_2020_BL_ADL_M__SRR17643050__R2__3a2189919cc06171bd15a88db98c7188_val_2	4314488.0	13974211.0
CN_16_RG_2021_BL_ADL_M__SRR17643046__R1__745d2d795c54bbefa255e4abde19ee9b_val_1	6159489.0	18170135.0
CN_16_RG_2021_BL_ADL_M__SRR17643046__R2__4a50f0fbf0b02b5415acee9141195828_val_2	5370367.0	18959257.0
CN_16_RG_2021_BL_ADL_M__SRR17643048__R1__5c32a50988902bc4a8b6ef9211b30226_val_1	1689856.0	2026259.0
CN_16_RG_2021_BL_ADL_M__SRR17643048__R2__e0b13fac308ceb73f5089114384be7c0_val_2	1436593.0	2279522.0
