Sample	aligned_reads	ambig_reads	discarded_reads	meth_chg	meth_chh	meth_cpg	no_alignments	percent_aligned	percent_chg_meth	percent_chh_meth	percent_cpg_meth	strand_ctob	strand_ctot	strand_directional	strand_ob	strand_ot	total_c	total_reads	unmeth_chg	unmeth_chh	unmeth_cpg
DE_08_R_ZD007779_BL_YRL_F__SRR17643026__R1__dd023d2c4bb33c293e2039b21aee8d36_val_1	19349009.0	3225969.0	511.0	2410717.0	3575610.0	89616628.0	6633612.0	66.24424184803169	0.6	0.5	35.8	0.0	0.0	directional	9676131.0	9672367.0	1382610341.0	29208590.0	384043852.0	742095468.0	160868066.0
DE_09_R_U240585_BL_ADL_F__SRR17643224__R1__56b3f7ff1354199502017413cf7ec4e6_val_1	17110468.0	3007043.0	367.0	2243890.0	3230630.0	82402464.0	4954884.0	68.24425029998132	0.7	0.5	37.2	0.0	0.0	directional	8589045.0	8521056.0	1206232240.0	25072395.0	335418090.0	643815022.0	139122144.0
DE_09_R_U241924_BL_ADL_F__SRR17643223__R1__34a7531b2ff36347512da4b5647f69db_val_1	17265051.0	3178080.0	549.0	2285486.0	3170649.0	83545129.0	5883105.0	65.58116017800646	0.7	0.5	35.9	0.0	0.0	directional	8637606.0	8626896.0	1193205014.0	26326236.0	335298779.0	619581929.0	149323042.0
DE_09_R_ZD007739_BL_ADL_M__SRR17643028__R1__d7286b2ea07222521de2e5264ad61c42_val_1	19726283.0	3224367.0	465.0	2394823.0	3420433.0	90864198.0	5024924.0	70.5125228172262	0.6	0.5	34.8	0.0	0.0	directional	9877939.0	9847879.0	1394009774.0	27975574.0	389718015.0	737034295.0	170578010.0
DE_19_R_19DE043_BL_ADL_M__SRR17643067__R1__1b37b6550c557cceaa9b9198f7ec7d3c_val_1	19860684.0	3405013.0	426.0	2591818.0	3537051.0	100919566.0	5684534.0	68.60285156273883	0.7	0.5	38.1	0.0	0.0	directional	9957819.0	9902439.0	1386987815.0	28950231.0	389860932.0	726096511.0	163981937.0
DE_19_R_19DE044_BL_ADL_F__SRR17643066__R1__ad79a43c687e15ed02a5637394240fa3_val_1	19205212.0	3296890.0	460.0	2594346.0	3739805.0	95591881.0	5512135.0	68.55518499397289	0.7	0.5	38.1	0.0	0.0	directional	9616615.0	9588137.0	1369866194.0	28014237.0	379921454.0	732966061.0	155052647.0
DE_19_R_19DE054_BL_ADL_M__SRR17643065__R1__7c1f8d71e72bc6616de60697819d555d_val_1	20788950.0	3552603.0	493.0	2685822.0	3872137.0	102638315.0	6439416.0	67.53832213664228	0.6	0.5	38.0	0.0	0.0	directional	10404192.0	10384265.0	1489850892.0	30780969.0	415023985.0	798363342.0	167267291.0
DE_19_R_19DE057_BL_ADL_F__SRR17643064__R1__8d55184eac4dd1eb376af8106b199884_val_1	17545921.0	3015538.0	370.0	2267781.0	3263466.0	91099751.0	5226342.0	68.03961687155876	0.7	0.5	39.7	0.0	0.0	directional	8786808.0	8758743.0	1234921482.0	25787801.0	343896573.0	655748971.0	138644940.0
DE_19_R_19DE108_BL_ADL_M__SRR17643063__R1__e79f88f8d42ea42721e1b8eb873df071_val_1	17869455.0	3160218.0	381.0	2342998.0	3216660.0	90908484.0	5306753.0	67.850721278582	0.7	0.5	37.8	0.0	0.0	directional	8969059.0	8900015.0	1250175131.0	26336426.0	350148932.0	653798587.0	149759470.0
DE_19_R_19DE110_BL_ADL_F__SRR17643062__R1__c4eb351aa1b150227f670c33a744575b_val_1	18775722.0	3407440.0	489.0	2296057.0	3172136.0	95469494.0	5713774.0	67.30388598948645	0.6	0.5	37.9	0.0	0.0	directional	9434277.0	9340956.0	1290626610.0	27896936.0	362473206.0	671073894.0	156141823.0
DE_20_R_20DE008_BL_ADL_F__SRR17643259__R1__07cc622bdc794b70f452c5fbee9a1c16_val_1	18606819.0	3408913.0	408.0	2356578.0	3254388.0	92131872.0	5919974.0	66.60586634180643	0.6	0.5	36.9	0.0	0.0	directional	9321870.0	9284541.0	1295583183.0	27935706.0	363796037.0	676235958.0	157808350.0
DE_20_R_20DE071_BL_ADL_M__SRR17643258__R1__0bd8241392428447f4cdfb842353ce5c_val_1	19263694.0	3138658.0	357.0	2474991.0	3496050.0	92112266.0	5949714.0	67.94458647211106	0.6	0.5	36.4	0.0	0.0	directional	9649276.0	9614061.0	1364650690.0	28352066.0	382002543.0	723903083.0	160661757.0
DE_20_R_20DE078_BL_ADL_M__SRR17643257__R1__a0d88e9fdcf96063dbc4096f783f8918_val_1	17734872.0	3059128.0	350.0	2218569.0	3021569.0	87558245.0	5705352.0	66.92568180535132	0.6	0.5	36.3	0.0	0.0	directional	8870416.0	8864106.0	1231352784.0	26499352.0	347374130.0	637436400.0	153743871.0
DE_20_R_20DE139_BL_ADL_F__SRR17643256__R1__9ee71c866a868115e51f179a63560eef_val_1	15234062.0	2641424.0	369.0	1920268.0	2781183.0	75611908.0	4463368.0	68.1953604244873	0.6	0.5	38.1	0.0	0.0	directional	7654592.0	7579101.0	1078656353.0	22338854.0	298944185.0	576707028.0	122691781.0
DE_20_R_20DE145_BL_ADL_M__SRR17643255__R1__b1bad1738e1f532f23075c9066ee956d_val_1	19745733.0	3167080.0	362.0	2504833.0	3463911.0	93191306.0	6044305.0	68.18956568813236	0.6	0.5	35.2	0.0	0.0	directional	9892035.0	9853336.0	1396247854.0	28957118.0	391980189.0	733758870.0	171348745.0
